Specification Number,Title,Responsible Group
04.72,Call Deflection (CD) Supplementary Service; Stage 3,C4
04.80,Mobile Radio Interface Layer 3 - Supplementary Services Specification Formats and Coding,C4
04.81,Line Identification Supplementary Services; Stage 3,C4
04.82,Call Forwarding (CF) Supplementary Services; Stage 3,C4
04.83,Call Waiting (CW) and Call Hold (HOLD) Supplementary Services; Stage 3,C4
04.84,Multi Party (MPTY) Supplementary Services; Stage 3,C4
04.85,Closed User Group (CUG) Supplementary Services; Stage 3,C4
04.86,Advice of Charge (AoC) Supplementary Services; Stage 3,C4
04.87,User-to-User Signalling (UUS) Supplementary Service; Stage 3,C4
04.88,Call Barring (CB) Supplementary Services; Stage 3,C4
04.90,Unstructured Supplementary Service Data (USSD),C4
04.91,Explicit Call Transfer (ECT) Supplementary Service; Stage 3,C4
04.93,Completion of Calls to Busy Subscriber (CCBS); Stage 3,C4
04.96,Name Identification Supplementary Services; Stage 3,C4
05.01,Physical layer on the radio path; General description,R6
05.01dcs,Physical Layer on the Radio Path (General Description) (DCS 1800),R6
05.01U,Universal Mobile Telecommunications System (UMTS); Objectives and framework for the Telecommunications Management Network (TMN) of the UMTS,SP
05.02,Multiplexing and Multiple Access on the Radio Path,R6
05.03,Channel coding,R6
05.04,Modulation,R6
05.05,Radio Transmission and Reception,R6
05.05dcs,Radio Transmission and Reception (DCS 1800),R6
05.06,Power Control Mechanisms,SMG2
05.07,Radio Subsystem Organization and Performance,SMG2
05.08,Radio subsystem link control,R6
05.08dcs,Radio Subsystem Link Control (DCS 1800),R6
05.09,Link adaptation,R6
05.10,Radio subsystem synchronization,R6
05.14,Release independent frequency bands; Implementation guidelines,R6
05.15,Release independent Downlink Advanced Receiver Performance (DARP); Implementation guidelines,R6
05.22,Radio link management in hierarchical networks,R6
05.50,Background for RF Requirements,R6
05.56,"GSM Cordless Telephony System (CTS), Phase 1; CTS-Fixed Part (FP) radio subsystem",R6
05.90,GSM Electromagnetic Compatibility (EMC) considerations,R6
06.01,Full Rate Speech Processing Functions,S4
06.01U,Universal Mobile Telecommunications System (UMTS); Quality requirements for speech and associated channel coding for the UMTS,SP
06.02,Half Rate Speech Processing Functions,S4
06.02U,Universal Mobile Telecommunications System (UMTS); Quality requirements and selection procedure for the support of voice- band data coding for the UMTS,SP
06.06,Half Rate Speech:  ANSI-C Code for GSM Half Rate Speech Codec,S4
06.07,Half Rate Speech: Test Sequence for GSM Half Rate Speech Codec,S4
06.08,Half Rate Speech; Performance Characterization of the GSM Half Rate speech codec,S4
06.10,Full Rate Speech Transcoding,S4
06.11,Substitution and Muting of Lost Frames for Full Rate Speech Channels,S4
06.12,Comfort Noise Aspects for Full Rate Speech Traffic Channels,S4
06.20,Half Rate Speech Transcoding,S4
06.21,Half rate speech; Substitution and muting of lost frames for half rate speech traffic channels,S4
06.22,Comfort Noise Aspects for Half Rate Speech Traffic Channels,S4
06.31,Discontinuous Transmission (DTX) for Full Rate Speech Traffic Channels,S4
06.32,Voice Activity Detection (VAD),S4
06.41,Discontinuous Transmission (DTX) for Half Rate Speech Traffic Channels,S4
06.42,Voice Activity Detection (VAD) for Half Rate Speech Traffic Channels,S4
06.51,GSM Enhanced full rate speech processing functions: General description,S4
06.53,ANSI-C code for the GSM Enhanced Full Rate (EFR) speech codec,S4
06.54,Test sequences for the GSM Enhanced Full Rate (EFR),S4
06.55,Performance characterisation of the GSM EFR Speech Codec,S4
06.60,Enhanced full rate speech transcoding,S4
06.61,Substitution and muting of lost frames for encanced full rate speech traffic channels,S4
06.62,Comfort noise aspects for Enhanced Full Rate (EFR) speech traffic channels,S4
06.71,Adaptive Multi-Rate speech processing functions; General description,S4
06.73,Adaptive Multi Rate (AMR) speech; ANSI-C code for the AMR speech codec,S4
06.74,Test sequences for the GSM Adaptive Multi Rate (AMR) speech codec,S4
06.75,Performance characterization of the GSM Adaptive Multi-Rate (AMR) speech codec,S4
06.76,Adaptive Multi-Rate (AMR) speech codec; Study phase report,S4
06.77,Minimum Performance Requirements for Noise Suppresser Application to the AMR Speech Encoder,S4
06.78,Results of the AMR noise suppression selection phase,S4
06.81,Discontinuous Transmission (DTX) for encanced full rate speech traffic channels,S4
06.82,Voice Activity Detection (VAD) for enhanced full rate speech traffic channels,S4
06.85,"Subjective tests on the interoperability of the HR/FR/EFR speech codecs; single, tandem and tandem free operation",S4
06.90,Adaptive Multi-Rate speech transcoding,S4
06.91,Substitution and muting of lost frames for AMR speech traffic channels,S4
06.92,Comfort noise aspects for Adaptive Multi-Rate speech traffic channels,S4
06.93,Discontinuous Transmission (DTX) for Adaptive Multi-Rate speech traffic channels,S4
06.94,Voice Activity Detector (VAD) for Adaptive Multi Rate (AMR) speech traffic channels,S4
07.01,General on Terminal Adaptation Functions (TAF) for Mobile Stations (MS),C3
07.01U,Universal Mobile Telecommunications System (UMTS); Integration of audio/visual source coding into UMTS,SP
07.02,Terminal Adaptation Functions (TAF) for Services Using Asynchronous Bearer Capabilities,C3
07.03,Terminal Adaptation Functions (TAF) for Services Using Synchronous Bearer Capabilities,C3
07.04,Adaptors for Packet Mode Data Services,SMG3
07.05,Use of Data Terminal Equipment - Data Circuit Terminating Equipment (DTE-DCE) Interface for Short Message Services (SMS) and Cell Broadcast Services (CBS),C1
07.06,Use of the V Series Data Terminal Equipment - Data Circuit Terminating Equipment (DTE-DCE) Interface at the Mobile Station (MS) for Mobile Termination (MT) configuration,T2
07.07,AT Command set for GSM Mobile Equipment (ME),C1
07.08,GSM Application Programming Interface,C1
07.10,Terminal Equipment to Mobile Station (TE-MS) multiplexer protocol,C3
07.60,General Packet Radio Service (GPRS); Mobile Station (MS) supporting GPRS,C3
08.01,General Aspects on the BSS-MSC Interface,R6
08.02,Base Station System - Mobile Services Switching Centre (BSS-MSC) Interface - Interface Principles,R6
08.04,Base Station System - Mobile Services Switching Centre (BSS-MSC) Interface Layer 1 Specification,R6
08.05,Data Link Layer - General Aspects,SMG3
08.06,Signalling Transport Mechanism Specification for the Base Station System - Mobile Services Switching Centre (BSS-MSC) Interface,R6
08.07,Layer 3 - General Aspects,SMG3
08.08,Mobile-services Switching Centre - Base Station system (MSC-BSS) Interface Layer 3 Specification,R6
08.08ext,Mobile-services Switching Centre - Base Station system (MSC-BSS) Interface Layer 3 Specification (DCS 1800),R6
08.14,General Packet Radio Service (GPRS); Base Station System (BSS) - Serving GPRS Support Node (SGSN) interface; Gb Interface Layer 1,R6
08.16,General Packet Radio Service (GPRS); Base Station System (BSS) - Serving GPRS Support Node (SGSN) Interface; Network Service,R6
08.18,General Packet Radio Service (GPRS); Base Station System (BSS) - Serving GPRS Support Node (SGSN); BSS GPRS Protocol,R6
08.20,Rate Adaptation on the Base Station System - Mobile Service Switching Centre (BSS-MSC) Interface,C3
08.31,Location Services (LCS): Serving Mobile Location Centre - Serving Mobile Location Centre (SMLC - SMLC); SMLCPP specification,R6
08.51,Base Station Controller - Base Tranceiver Station (BSC-BTS) Interface General Aspects,R6
08.52,Base Station Controller - Base Tranceiver Station (BSC-BTS) Interface - Interface Principles,R6
08.54,BSC-BTS Layer 1; Structure of Physical Circuits,R6
08.56,BSC-BTS Layer 2; Specification,R6
08.58,Base Station Controler - Base Transceiver Station  (BCS-BTS) Interface Layer 3 Specification,R6
08.58dcs,Base Station Controler - Base Transceiver Station  (BCS-BTS) Interface (DCS 1800),R6
08.58ext,Base Station Controler - Base Transceiver Station  (BCS-BTS) Interface (Ext),R6
08.59,BSC-BTS O&M Signalling Transport,R6
08.60,In-band control of remote transcoders and rate adaptors for Enhanced Full Rate (EFR) and full rate traffic channels,R6
08.61,In-band control of remote transcoders and rate adaptors for half rate traffic channels,R6
08.62,Inband Tandem Free Operation (TFO) of Speech Codecs; Service Description; Stage 3,S4
08.71,Location Services (LCS); Serving Mobile Location Centre - Base Station System (SMLC-BSS) interface; Layer 3,R6
09.01,General Network Interworking Scenarios,C4
09.01U,UMS Security as[ects; Part 01: Security aspects for UMS,SMG5
09.02,Mobile Application Part (MAP) Specification,C4
09.02dcs,Mobile Application Part (MAP) Specification (DCS 1800),C4
09.03,Signalling Requirements on Interworking between the Intergrated Services Digital Network (ISDN) or Public Switched Telephone Network (PSTN) and the Public Land Mobile Network (PLMN),C3
