Specification Number,Title,Responsible Group
29.801,Feasibility study of using M2PA in 3GPP networks,C4
29.802,(G)MSC-S - (G)MSC-S Nc Interface based on the SIP-I protocol,C4
29.803,3GPP System Architecture Evolution (SAE): CT WG4 aspects,C4
29.804,3GPP System Architecture Evolution (SAE): CT WG3 aspects,C3
29.805,InterWorking Function (IWF) between MAP based and Diameter based interfaces,C4
29.806,Study on IP Multimedia Subsystem (IMS) Proxy Call Session Control Function (P-CSCF) restoration procedures,C4
29.807,Study on General Packet Radio Service (GPRS) Tunnelling Protocol for Control plane (GTP-C) overload control mechanisms,C4
29.808,Study on the Nudsf Service Based Interface,C4
29.809,Study on Diameter overload control mechanisms,C4
29.810,Study on Diameter load control mechanisms,C4
29.811,Study on EPC signalling improvements for race scenarios ,C4
29.812,Study on SCC AS Restoration,C4
29.813,Study on S6a/S6d Shared Data Update,C4
29.814,Bandwidth saving at Nb interface with IP transport,C3
29.816,Study on PCRF failure and restoration,C3
29.817,Study on eXtensible Markup Language (XML) based access of the Application Function (AF) to the Policy and Charging Rules Function (PCRF),C3
29.818,Study on the enhancement of protocols for SMS service over SGs,C4
29.819,Study on impacts of the Diameter Base Protocol specification update.,C4
29.820,Study on Best Practice of PFCP,C4
29.821,Study on restoration of profiles related to UDR,C4
29.826,P-CSCF restoration enhancements for WLAN,C4
29.827,Study on Policy and Charging for Volume Based Charging,C3
29.828,Study on extended IP Multimedia Subsystem (IMS) media plane security features and Transmission Control Protocol (TCP) related Network Address Translation (NAT) traversal support; IMS H.248 profiles aspects,C4
29.829,Service-based support for SMS in 5GC,C4
29.831,Study on NRF API enhancements to avoid signalling and storing of redundant data,C4
29.835,Study on Port Allocation Alternatives for New 3GPP Interfaces,C4
29.839,3GPP system - fixed broadband access network interworking; Home (e)Node B - security gateway interface,C4
29.843,Study on Load and Overload Control of 5GC Service Based Interface,C4
29.844,Study on Control and User Plane Separation of EPC Nodes,C4
29.846,Multimedia Broadcast/Multicast Service (MBMS); CN1 procedure description,C1
29.847,"Conferencing based on SIP, SDP, and other protocols; Functional models, information flows and protocol details",C1
29.854,Study on shared data update for multiple subscribers,C4
29.857,Study on Reducing Information Exposure over SBI,C4
29.863,Feasibility Study for the multimedia inter-working between the IP Multimedia Core Network (CN) Subsystem (IMS) and Circuit Switched (CS) networks,C3
29.864,Study on IMS Application Server (AS) service data descriptions for AS interoperability,C4
29.865,Inter-IMS network to network interface,C3
29.866,Study on IMS Disaster Prevention and Restoration Enhancement,C4
29.867,Study on IMS resiliency,C4
29.875,Interworking Proxy between GTP based and PMIP based interfaces,C4
29.882,Customized Alerting Tone (CAT) in 3G CS domain,C4
29.889,Study on Protocol for AI Data Collection from UPF,C4
29.890,CT WG3 aspects of 5G System Phase 1,C3
29.891,5G System - Phase 1 CT WG4 Aspects,C4
29.892,Study on User Plane Protocol in 5GC,C4
29.893,Study on IETF QUIC Transport for 5GC Service Based Interfaces,C4
29.903,Feasibility Study on SS7 signalling transport in the core network with SCCP-User Adaptation  (SUA) layer,C4
29.909,Diameter-based protocols usage and recommendations in 3GPP,C3
29.935,Study on User Data Convergence (UDC) data model,C4
29.941,Guidelines on Port Allocation for New 3GPP Interfaces,C4
29.949,Study on technical aspects on roaming end-to-end scenarios with Voice over LTE (VoLTE) IP Multimedia Subsystem (IMS) and other networks,C3
29.962,Signalling interworking between the 3GPP profile of the Session Initiation Protocol (SIP) and non-3GPP SIP usage,C3
29.993,Modifications to be incorporated in equipment to cater for errors in the standards,RP
29.994,Recommended infrastructure measures to overcome specific Mobile Station (MS) and User Equipment (UE) faults,C1
29.998,Open Services Architecture (OSA) Application Programming Interface (API) part 2,CP
29.998-01,Open Service Access (OSA); Application Programming Interface (API) mapping for OSA; Part 1: General issues on API mapping,CP
29.998-04-1,Open Service Access (OSA); Application Programming Interface (API) Mapping for Open Service Access; Part 4: Call Control Service Mapping; Subpart 1: API to CAP Mapping,CP
29.998-04-2,Open Service Access (OSA) Application Programming Interface (API) Mapping for Open Service Access; Part 4: Call Control Service Mapping; Subpart 2: INAP,N5
29.998-04-3,Open Service Access (OSA) Application Programming Interface (API) Mapping for Open Service Access; Part 4: Call Control Service Mapping; Subpart 3: MEGACO mapping,N5
29.998-04-4,Open Service Access (OSA); Application Programming Interface (API) Mapping for Open Service Access; Part 4: Call Control Service Mapping; Subpart 4: Multiparty Call Control ISC,CP
29.998-05-1,Open Service Access (OSA); Application Programming Interface (API) Mapping for Open Service Access; Part 5: User Interaction Service Mapping; Subpart 1: API to CAP Mapping,CP
29.998-05-2,Open Service Access (OSA) Application Programming Interface (API) Mapping for Open Service Access; Part 5: User Interaction Service Mapping; Subpart 2: INAP mapping,N5
29.998-05-3,Open Service Access (OSA) Application Programming Interface (API) Mapping for Open Service Access; Part 5: User Interaction Service Mapping; Subpart 3: MEGACO mapping,N5
29.998-05-4,Open Service Access (OSA); Application Programming Interface (API) Mapping for Open Service Access; Part 5: User Interaction Service Mapping; Subpart 4: API to SMS Mapping,CP
29.998-06,Open Service Access (OSA); Application Programming Interface (API) Mapping for Open Service Access; Part 6: User Location and User Status Service Mapping to MAP,CP
29.998-06-1,Open Service Access (OSA); Application Programming Interface (API) Mapping for Open Service Access; Part 6: User location - user status service mapping; Subpart 1: Mapping to Mobile Application Part (MAP),CP
29.998-06-2,Open Service Access (OSA);  Application Programming Interface (API)  Mapping for Open Service Access;  Part 6: User location - user status service mapping; Subpart 2: Mapping to Session Initiation Protocol (SIP),CP
29.998-08,Open Service Access (OSA); Application Programming Interface (API) Mapping for Open Service Access; Part 8: Data Session Control Service Mapping to CAP,CP
30.002,Guidelines for the modification of the Mobile Application Part (MAP),N4
30.007,Guideline on WI/SI for new Operating Bands,RP
30.03U,Selection procedures for the choice of radio transmission technologies of the UMTS,RP
30.04U,Definition of the limited number of UTRA concepts,GP
30.06U,UTRA concept evaluation,SP
30.301,3.84 Mcps TDD enhanced uplink: RAN WG2 Stage 2 decisions,R2
30.302,1.28 Mcps TDD enhanced uplink: RAN WG2 Stage 2 decisions,R2
30.504,Work Plan and Study Items - RAN WG4,R4
30.531,Work Plan and Working Procedures - RAN WG3,R3
30.801,Overall Project  Plan,S2
30.802,Project plan on Bearer Services and QoS,S2
30.804,Project plan on GSM/UMTS Interoperation and Mobility Management,S2
30.806,Project plan on Location based services,S2
30.808,Project plan on Packet Architecture and Circuit Architecture,S2
30.810,Project plan on Security,S2
30.812,Project plan on Services and Service platforms,S2
30.817,"Telecommunication management; Project scheduling and open issues for SA5, Release 7",S5
30.818,"Telecommunication management; Project scheduling and open issues for SA5, Release 8",S5
30.819,"Telecommunication management; Project scheduling and open issues for SA5, Release 9",S5
30.820,"Telecommunication management; Project scheduling and open issues for SA5, Release 10",S5
30.821,"Telecommunication management; Project scheduling and open issues for SA5, Release 11",S5
30.902,Guidelines for the modification of the Mobile Application Part (MAP) in Phase 2+,C4
31.048,Security mechanisms for the (U)SIM application toolkit; Test specification,C6
31.101,UICC-terminal interface; Physical and logical characteristics,C6
31.102,Characteristics of the Universal Subscriber Identity Module (USIM) application,C6
31.103,Characteristics of the IP Multimedia Services Identity Module (ISIM) application,C6
31.104,Characteristics of the Hosting Party Subscription Identity Module (HPSIM) application,C6
31.105,Characteristics of the Slice Subscriber Identity Module application,C6
31.110,Numbering system for telecommunication IC card applications,C6
31.111,Universal Subscriber Identity Module (USIM) Application Toolkit (USAT),C6
31.112,Universal Subscriber Identity Module Application Toolkit (USAT) interpreter architecture description,C6
31.113,Universal Subscriber Identity Module Application Toolkit (USAT) interpreter byte codes,C6
31.114,Universal Subscriber Identity Module Application Toolkit (USAT) interpreter protocol and administration,C6
31.115,Secured packet structure for (Universal) Subscriber Identity Module (U)SIM Toolkit applications,C6
31.116,Remote APDU Structure for (U)SIM Toolkit applications,C6
31.117,Universal Subscriber Identity Module Application Toolkit (USAT) application behavioural test specification,C6
31.120,"UICC-terminal interface; Physical, electrical and logical test specification",C6
31.121,UICC-terminal interface; Universal Subscriber Identity Module (USIM) application test specification,C6
31.122,Universal Subscriber Identity Module (USIM) conformance test specification,C6
31.123,(Universal) Subscriber Interface Module ((U)SIM) toolkit interpreter test,T3
31.124,Mobile Equipment (ME) conformance test specification; Universal Subscriber Identity Module Application Toolkit (USAT) conformance test specification,C6
31.127,UICC-terminal interaction; non-removable Universal Subscriber Identity Module (nrUSIM) application behavioural test specification,C6
31.130,(U)SIM Application Programming Interface (API); (U)SIM API for Java™ Card,C6
31.131,C-language binding to (U)SIM API,C6
31.133,IP Multimedia Services Identity Module (ISIM) Application Programming Interface (API); ISIM API for Java Card™,C6
31.134,Mobile Equipment (ME) conformance test specification; IP Multimedia Services Identity Module (ISIM) interworking with IP Multimedia Subsystem (IMS) test specification,C6
31.213,Test specification for (U)SIM; Application Programming Interface (API) for Java Card™,C6
31.220,Characteristics of the Contact Manager for 3GPP UICC applications,C6
31.221,Contact Manager Application Programming Interface (API); Contact Manager API for Java Card,C6
31.222,GBA_U Based APIs,C6
31.320,Contact Manager for 3GPP UICC applications test specifications,C6
31.321,Contact Manager API for Java™ Card test specification,C6
31.801,Technical requirements for the secure platform for 3GPP applications,C6
31.822,Study on GBA_U Based APIs,C6
31.826,Study on new UICC application for NSSA,C6
31.828,UICC access to IMS,C6
31.829,Conformance requirements for IP Multimedia Services Identity Module (ISIM) application test specification,C6
31.890,CT WG6 aspects of 5G System Phase 1,C6
31.900,SIM/USIM internal and external interworking aspects,C6
31.901,Review of dedicated 3GPP UICC features (Red_UCe),C6
31.919,2G/3G Java Card™ Application Programming Interface (API) based applet interworking,C6
31.970,UICC power optimisation for Machine-Type Communication (MTC),C6
32.005,Telecommunications management; Charging management; 3G call and event data for the Circuit Switched (CS) domain,S5
32.015,Telecommunications management; Charging management; 3G call and event data for the Packet Switched (PS) domain,S5
32.01U,Overall principles of the OAM for the UMTS,SMG12
32.101,Telecommunication management; Principles and high level requirements,S5
32.102,Telecommunication management; Architecture,S5
32.103,Telecommunication management; Integration Reference Point (IRP) overview and usage guide,S5
32.104,Telecommunication management; 3G Performance Management,S5
32.105,3G charging and billing; Stage 2 description,S5
32.106,Configuration Management,S5
32.106-1,Telecommunication management; Configuration Management (CM); Part 1: Concept and requirements,S5
32.106-2,Telecommunication management; Configuration Management (CM); Part 2: Notification Integration Reference Point (IRP): Information Service (IS),S5
32.106-3,Telecommunication management; Configuration Management (CM); Part 3: Notification Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.106-4,Telecommunication management; Configuration Management (CM); Part 4: Notification Integration Reference Point (IRP); Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.106-5,Telecommunication management; Configuration Management (CM); Part 5: Basic CM Integration Reference Point (IRP): Information model (including Network Resource Model (NRM),S5
32.106-6,Telecommunication management; Configuration Management (CM); Part 6: Basic CM Integration Reference Point (IRP): Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.106-7,Telecommunication management; Configuration Management (CM); Part 7: Basic CM Integration Reference Point (IRP): Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.106-8,Telecommunication management; Configuration Management (CM); Part 8: Name convention for Managed Objects,S5
32.107,Telecommunication management; Fixed Mobile Convergence (FMC) Federated Network Information Model (FNIM),S5
32.108,Telecommunication management; Subscriber and equipment trace,S5
32.111,3G Fault Management,S5
32.111-1,Telecommunication management; Fault Management; Part 1: 3G fault management requirements,S5
32.111-2,Telecommunication management; Fault Management; Part 2: Alarm Integration Reference Point (IRP): Information Service (IS),S5
32.111-3,Telecommunication management; Fault Management; Part 3: Alarm Integration Reference Point (IRP): Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.111-4,Telecommunication management; Fault Management; Part 4: Alarm Integration Reference Point (IRP): Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.111-5,Telecommunication management; Fault Management; Part 5: Alarm Integration Reference Point (IRP): eXtensible Markup Language (XML) definitions,S5
32.111-6,Telecommunication management; Fault Management; Part 6: Alarm Integration Reference Point (IRP): Solution Set (SS) definitions,S5
32.111-7,Telecommunication management; Fault Management; Part 7: Alarm IRP SOAP Solution Set (SS),S5
32.112,Telecommunication management; Fault Management; Alarm Integration Reference Point: Information Service,S5
32.112-1,Telecommunication management; Generic Integration Reference Point (IRP) management; Part 1: Requirements,S5
32.112-2,Telecommunication management; Generic Integration Reference Point (IRP) management; Part 2: Information service,S5
32.113,Telecommunication management; Fault Management; Alarm Integration Reference Point (IRP): Common Object Request Broker Architecture (CORBA) solution set,S5
32.114,Telecommunication management; Fault Management; Alarm Integration Reference Point (IRP): Common Management Information Protocol (CMIP) solution set,S5
32.121,Telecommunication management; Advanced Alarm Management (AAM) Integration Reference Point (IRP): Requirements,S5
32.122,Telecommunication management; Advanced Alarm Management (AAM) Integration Reference Point (IRP): Information Service (IS),S5
32.123,Telecommunication management; Advanced Alarm Management (AAM) Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.125,Telecommunication management; Advanced Alarm Management (AAM) Integration Reference Point (IRP): eXtensible Markup Language (XML) file format definition,S5
32.126,Telecommunication management; Advanced Alarm Management (AAM) Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.127,Telecommunication management; Advanced Alarm Management (AAM) Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.130,Telecommunication management; Network sharing; Concepts and requirements,S5
32.140,Telecommunication management; Subscription Management (SuM) requirements,S5
32.141,Telecommunication management; Subscription Management (SuM) architecture,S5
32.150,Telecommunication management; Integration Reference Point (IRP) Concept and definitions,S5
32.151,Telecommunication management; Integration Reference Point (IRP) Information Service (IS) template,S5
32.152,Telecommunication management; Integration Reference Point (IRP) Information Service (IS) Unified Modelling Language (UML) repertoire,S5
32.153,"Telecommunication management;  Integration Reference Point (IRP) technology specific templates, rules and guidelines",S5
32.154,Telecommunication management; Backward and Forward Compatibility (BFC); Concept and definitions,S5
32.155,Telecommunication management; Requirements template,S5
32.156,Telecommunication management; Fixed Mobile Convergence (FMC) model repertoire,S5
32.157,Telecommunication management; Integration Reference Point (IRP) Information Service (IS) template,S5
32.158,Management and orchestration;Design rules for REpresentational State Transfer (REST) Solution Sets (SS),S5
32.159,TS template for stage 2 and stage 3 of management service definitions,S5
32.160,Management and orchestration; Management service template,S5
32.161,Management and orchestration; JSON expressions (Jex),S5
32.171,Telecommunication management; Subscription Management (SuM) Network Resource Model (NRM) Integration Reference Point (IRP); Requirements,S5
32.172,Telecommunication management; Subscription Management (SuM) Network Resource Model (NRM) Integration Reference Point (IRP): Information Service (IS),S5
32.173,Telecommunication management; Subscription Management (SuM) Network Resource Model (NRM) Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.175,Telecommunication management; Subscription Management (SuM) Network Resource Model (NRM) Integration Reference Point (IRP): eXtensible Markup Language (XML) definition,S5
32.176,Telecommunication management; Subscription Management (SuM) Network Resource Model (NRM) Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.181,Telecommunication management; User Data Convergence (UDC); Framework for Model Handling and Management,S5
32.182,Telecommunication management; User Data Convergence (UDC); Common baseline information model (CBIM),S5
32.200,Telecommunication management; Charging management; Charging principles,S5
32.205,Telecommunication management; Charging management; Charging data description for the Circuit Switched (CS) domain,S5
32.215,Telecommunication management; Charging management; Charging data description for the Packet Switched (PS) domain,S5
32.225,Telecommunication management; Charging management; Charging data description for the IP Multimedia Subsystem (IMS),S5
32.235,Telecommunication management; Charging management; Charging data description for application services,S5
32.240,Telecommunication management; Charging management; Charging architecture and principles,S5
32.250,Telecommunication management; Charging management; Circuit Switched (CS) domain charging,S5
32.251,Telecommunication management;Charging management;Packet Switched (PS) domain charging,S5
32.252,Telecommunication management; Charging management; Wireless Local Area Network (WLAN) charging,S5
32.253,Telecommunication management; Charging management; Control Plane (CP) data transfer domain charging ,S5
32.254,Telecommunication management; Charging management; Exposure function Northbound Application Program Interfaces (APIs) charging,S5
32.255,Telecommunication management; Charging management; 5G data connectivity domain charging; Stage 2,S5
32.256,Charging management; 5G connection and mobility domain charging; Stage 2,S5
32.257,Telecommunication management; Charging management; Edge computing domain charging,S5
32.260,Telecommunication management;Charging management;IP Multimedia Subsystem (IMS) charging,S5
32.270,Telecommunication management; Charging management; Multimedia Messaging Service (MMS) charging,S5
32.271,Telecommunication management; Charging management; Location Services (LCS) charging,S5
32.272,Telecommunication management; Charging management; Push-to-talk over Cellular (PoC) charging,S5
32.273,Telecommunication management; Charging management; Multimedia Broadcast and Multicast Service (MBMS) charging,S5
32.274,Telecommunication management; Charging management; Short Message Service (SMS) charging,S5
32.275,Telecommunication management; Charging management; MultiMedia Telephony (MMTel) charging,S5
32.276,Telecommunication management; Charging management; Voice Call Service (VCS) charging,S5
32.277,Telecommunication management; Charging management; Proximity-based Services (ProSe) charging,S5
32.278,Telecommunication management;Charging management;Monitoring event charging,S5
32.279,Charging management; 5G Multicast-broadcast Services charging,S5
32.280,Telecommunication management; Charging management; Advice of Charge (AoC) service,S5
32.281,Telecommunication management; Charging management; Announcement service,S5
32.282,Charging management; Time-Sensitive Networking (TSN) charging,S5
32.290,"Telecommunication management; Charging management; 5G system; Services, operations and procedures of charging using Service Based Interface (SBI)",S5
32.291,"Telecommunication management; Charging management; 5G system, charging service; Stage 3",S5
32.293,Telecommunication management; Charging management; Proxy function,S5
32.294,Charging for QoS Control Based on Subscriber Spending Limits,S5
32.295,Telecommunication management; Charging management; Charging Data Record (CDR) transfer,S5
32.296,Telecommunication management; Charging management; Online Charging System (OCS): Applications and interfaces,S5
32.297,Telecommunication management; Charging management; Charging Data Record (CDR) file format and transfer,S5
32.298,Telecommunication management; Charging management; Charging Data Record (CDR) parameter description,S5
32.299,Telecommunication management; Charging management; Diameter charging applications,S5
32.300,Telecommunication management; Configuration Management (CM); Name convention for Managed Objects,S5
32.301,Telecommunication management; Configuration Management (CM); Notification Integration Reference Point (IRP); Requirements,S5
32.301-1,Telecommunication management; Configuration Management (CM); Notification Integration Reference Point (IRP): requirements,S5
32.301-2,Telecommunication management; Configuration Management (CM); Part 2: Notification Integration Reference Point (IRP): Information Service,S5
32.301-3,Telecommunication management; Configuration Management (CM); Part 3: Notification Integration Reference Point (IRP): Common Object Request Broker Architecture (CORBA) solution set,S5
32.301-4,Telecommunication management; Configuration Management (CM); Part 4: Notification Integration Reference Point: Common Management Information Protocol (CMIP) solution,S5
32.302,Telecommunication management; Configuration Management (CM); Notification Integration Reference Point (IRP); Information Service (IS),S5
32.303,Telecommunication management; Configuration Management (CM); Notification Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.304,Telecommunication management; Configuration Management (CM); Notification Integration Reference Point (IRP): Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.305,Telecommunication management; Configuration Management (CM); Notification Integration Reference Point (IRP); eXtensible Markup Language (XML) definition,S5
32.306,Telecommunication management; Configuration Management (CM); Notification Integration Reference Point (IRP): Solution Set (SS) definitions,S5
32.307,Telecommunication management; Configuration Management (CM); Notification Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.311,Telecommunication management; Generic Integration Reference Point (IRP) management; Requirements,S5
32.312,Telecommunication management; Generic Integration Reference Point (IRP) management; Information Service (IS),S5
32.312-1,Telecommunication management; Generic Integration Reference Point (IRP) management; Requirements,S5
32.312-2,Telecommunication management; Generic Integration Reference Point (IRP) management; Information service,S5
32.313,Telecommunication management; Generic Integration Reference Point (IRP) management; Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.314,Telecommunication management; Generic Integration Reference Point (IRP) management; Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.316,Telecommunication management; Generic Integration Reference Point (IRP) management; Solution Set (SS) definitions,S5
32.317,Telecommunication management; Generic Integration Reference Point (IRP) management; SOAP Solution Set (SS),S5
32.321,Telecommunication management; Test management Integration Reference Point (IRP); Requirements,S5
32.322,Telecommunication management; Test management Integration Reference Point (IRP); Information Service (IS),S5
32.323,Telecommunication management; Test management Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.324,Telecommunication management; Test management Integration Reference Point (IRP); Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.325,Telecommunication management; Test management Integration Reference Point (IRP); eXtensible Markup Language (XML) definitions,S5
32.326,Telecommunication management; Test management Integration Reference Point (IRP): Solution Set (SS) definitions,S5
32.327,Telecommunication management; Test management Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.331,Telecommunication management; Notification Log (NL) Integration Reference Point (IRP); Requirements,S5
32.332,Telecommunication management; Notification Log (NL) Integration Reference Point (IRP); Information Service (IS),S5
32.333,Telecommunication management; Notification Log (NL) Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.334,Telecommunication management; Notification Log (NL) Integration Reference Point (IRP); Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.335,Telecommunication management; Notification Log (NL) Integration Reference Point (IRP); eXtensible Markup Language (XML) solution definitions,S5
32.336,Telecommunication management; Notification Log (NL) Integration Reference Point (IRP): Solution Set (SS) definitions,S5
32.337,Telecommunication management; Notification Log (NL) Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.341,Telecommunication management; File Transfer (FT) Integration Reference Point (IRP); Requirements,S5
32.342,Telecommunication management; File Transfer (FT) Integration Reference Point (IRP); Information Service (IS),S5
32.343,Telecommunication management; File Transfer (FT) Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.344,Telecommunication management; File Transfer (FT) Integration Reference Point (IRP); Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.345,Telecommunication management; File Transfer (FT) Integration Reference Point (IRP); eXtensible Markup Language (XML) definitions,S5
32.346,Telecommunication management; File Transfer (FT) Integration Reference Point (IRP): Solution Set (SS) definitions,S5
32.347,Telecommunication management; File Transfer (FT) Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.350,Telecommunication management; Communication Surveillance (CS) requirements,S5
32.351,Telecommunication management; Communication Surveillance (CS) Integration Reference Point (IRP); Requirements,S5
32.352,Telecommunication management; Communication Surveillance (CS) Integration Reference Point (IRP); Information Service (IS),S5
32.353,Telecommunication management; Communication Surveillance (CS) Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.354,Telecommunication management; Communication Surveillance (CS) Integration Reference Point (IRP); Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.355,Telecommunication management; Communication Surveillance (CS) Integration Reference Point (IRP); eXtensible Markup Language (XML) definitions,S5
32.356,Telecommunication management; Communication Surveillance (CS) Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.357,Telecommunication management; Communication Surveillance (CS) Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.361,Telecommunication management; Entry Point (EP) Integration Reference Point (IRP); Requirements,S5
32.362,Telecommunication management; Entry Point (EP) Integration Reference Point (IRP); Information Service (IS),S5
32.363,Telecommunication management; Entry Point (EP) Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.364,Telecommunication Management; Entry Point (EP) Integration Reference Point (IRP); Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.365,Telecommunication management; Entry Point (EP) Integration Reference Point (IRP); eXtensible Markup Language (XML) definitions,S5
32.366,Telecommunication management; Entry Point (EP) Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.367,Telecommunication management; Entry Point (EP) Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.371,Telecommunication management; Security Management concept and requirements,S5
32.372,Telecommunication management; Security services for Integration Reference Point (IRP); Information Service (IS),S5
32.373,Telecommunication management; Security services for Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) solution,S5
32.374,Telecommunication management; Security Management  Integration Reference Point (IRP); Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.375,Telecommunication management; Security services for Integration Reference Point (IRP); File integrity solution,S5
32.376,Telecommunication management; Security services for Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.381,Telecommunication management; Partial Suspension of Itf-N Integration Reference Point (IRP); Requirements,S5
32.382,Telecommunication management; Partial Suspension of Itf-N Integration Reference Point (IRP); Information Service (IS),S5
32.383,Telecommunication management; Partial Suspension of Itf-N Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.385,Telecommunication management; Partial Suspension of Itf-N Integration Reference Point (IRP): eXtensible Markup Language (XML) file format definition,S5
32.386,Telecommunication management; Partial Suspension of Itf-N Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.387,Telecommunication management; Partial Suspension of Itf-N Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.391,Telecommunication management; Delta synchronization Integration Reference Point (IRP); Requirements,S5
32.392,Telecommunication management; Delta synchronization Integration Reference Point (IRP); Information Service (IS),S5
32.393,Telecommunication management; Delta synchronization Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.395,Telecommunication management; Delta synchronisation Integration Reference Point (IRP); eXtensible Markup Language (XML) file format definition,S5
32.396,Telecommunication management; Delta synchronization Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.397,Telecommunication management; Delta synchronization Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.401,Telecommunication management;Performance Management (PM);Concept and requirements,S5
32.402,Telecommunication management; Performance Management (PM); Performance measurements - GSM,S5
32.403,Telecommunication management; Performance Management (PM); Performance measurements; UMTS and combined UMTS/GSM,S5
32.404,Telecommunication management; Performance Management (PM); Performance measurements; Definitions and template,S5
32.405,Telecommunication management; Performance Management (PM); Performance measurements; Universal Terrestrial Radio Access Network (UTRAN),S5
32.406,Telecommunication management; Performance Management (PM); Performance measurements; Core Network (CN) Packet Switched (PS) domain,S5
32.407,Telecommunication management; Performance Management (PM); Performance measurements; Core Network (CN) Circuit Switched (CS) domain; UMTS and combined UMTS/GSM,S5
32.408,Telecommunication management; Performance Management (PM); Performance measurements; Teleservice,S5
32.409,Telecommunication management; Performance Management (PM); Performance measurements; IP Multimedia Subsystem (IMS),S5
32.410,Telecommunication management; Key Performance Indicators (KPI) for UMTS and GSM,S5
32.411,Telecommunication management; Performance Management (PM) Integration Reference Point (IRP): Requirements,S5
32.412,Telecommunication management; Performance Management (PM) Integration Reference Point (IRP): Information Service (IS),S5
32.413,Telecommunication management; Performance Management (PM) Integration Reference Point (IRP): Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.414,Telecommunication management; Performance Management (PM) Integration Reference Point (IRP): Common Management Information Protocol (CMIP) Solution Set (SS),S5
32.415,Telecommunication management; Performance Management (PM) Integration Reference Point (IRP); eXtensible Markup Language (XML) definitions,S5
32.416,Telecommunication management; Performance Management (PM) Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.417,Telecommunication management; Performance Management (PM) Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.421,Telecommunication management; Subscriber and equipment trace; Trace concepts and requirements,S5
32.422,Telecommunication management; Subscriber and equipment trace; Trace control and configuration management,S5
32.423,Telecommunication management; Subscriber and equipment trace; Trace data definition and management,S5
32.425,Telecommunication management; Performance Management (PM); Performance measurements Evolved Universal Terrestrial Radio Access Network (E-UTRAN),S5
32.426,Telecommunication management; Performance Management (PM); Performance measurements Evolved Packet Core (EPC) network,S5
32.431,Telecommunication management; Performance measurement collection Integration Reference Point (IRP); Requirements,S5
32.432,Telecommunication management; Performance measurement: File format definition,S5
32.433,Telecommunication management; Performance measurement collection Integration Reference Point (IRP); eXtensible Markup Language (XML) file format definition,S5
32.434,Telecommunication management; Performance measurement collection Integration Reference Point (IRP); Abstract Syntax Notation 1 (ASN.1) file format definition,S5
